mineral,symbole,PDF,d,theta,I,h,k,l
åkermanite,Ak,00-035-0592,2.87187,31.117,100,2,1,1
åkermanite,Ak,00-035-0592,3.08662,28.903,23,2,0,1
åkermanite,Ak,00-035-0592,2.47784,36.224,15,3,1,0
anorthite,An,00-041-1486,4.04041,21.981,22,-2,0,2
anorthite,An,00-041-1486,3.18056,28.032,100,0,0,4
anorthite,An,00-041-1486,3.20861,27.782,88,0,4,0
anorthite,An,00-041-1486,3.19621,27.892,69,-2,0,4
calcite,Cal,00-005-0586,3.035,29.406,100,1,0,4
calcite,Cal,00-005-0586,2.285,39.402,18,1,1,3
calcite,Cal,00-005-0586,2.095,43.146,18,2,0,2
diopside,Di,00-041-1370,2.985,29.91,100,-2,2,1
diopside,Di,00-041-1370,2.943,30.347,55,-3,1,0
diopside,Di,00-041-1370,3.22,27.681,50,-2,2,0
gehlenite,Gh,00-035-0755,2.8446,31.423,100,2,1,1
gehlenite,Gh,00-035-0755,1.7542,52.095,25,3,1,2
gehlenite,Gh,00-035-0755,3.06288,29.132,21,2,1,1
hematite,Hem,00-033-0664,2.7,33.153,100,1,0,4
hematite,Hem,00-033-0664,2.519,35.612,70,1,1,0
hematite,Hem,00-033-0664,1.6941,54.091,45,1,1,6
illite,Ilt,01-070-3754,10.0217,8.817,61,0,0,2
mullite,Mul,,3.39,26.268,100,2,1,0
mullite,Mul,,3.428,25.971,95,1,2,0
mullite,Mul,,5.39,16.433,50,1,1,0
quartz,Qz,00-046-1045,3.34347,26.64,100,1,0,1
quartz,Qz,00-046-1045,4.25499,20.86,16,1,0,0
quartz,Qz,00-046-1045,1.81796,50.139,13,1,1,2
rutile,Rt,00-021-1276,3.247,27.447,100,1,1,0
rutile,Rt,00-021-1276,1.6874,54.323,60,2,1,1
rutile,Rt,00-021-1276,2.487,36.086,50,1,0,1
chlorite,Chl,,14,6.308,100,0,0,1
kaolinite,Kln,01-089-6538,7.15854,12.355,100,0,0,1
palygorskite,Plg,00-021-0958,10.4,8.495,100,1,1,0
orthose,Or,00-031-0966,3.31,26.914,100,2,2,0
orthose,Or,00-031-0966,3.77,23.58,80,1,3,0
orthose,Or,00-031-0966,4.22,21.035,70,-2,0,1
albite,Ab,00-009-0466,3.196,27.894,100,0,0,2
albite,Ab,00-009-0466,3.78,23.517,25,1,1,1
albite,Ab,00-009-0466,3.684,24.138,20,1,3,0
albite,Ab,00-009-0466,6.39,13.847,20,0,0,1
anatase,Ant,00-021-1272,3.52,25.281,100,1,0,1
anatase,Ant,00-021-1272,1.892,48.05,35,2,0,0
anatase,Ant,00-021-1272,2.378,37.801,20,0,0,4
anatase,Ant,00-021-1272,1.6999,53.891,20,1,0,5
anatase,Ant,00-021-1272,1.6665,55.062,20,2,1,1
