"sample","material","site","phase","LOI","CaO","SiO2","Al2O3"
"BDX14914","clay","Mas de Moreno",2,19.48,17.17,51.16,20.66
"BDX14917","clay","Mas de Moreno",2,18.76,17.17,51.34,20.89
"BDX14918","clay","Mas de Moreno",2,18.91,17.33,51.1,20.69
"BDX14920","clay","Mas de Moreno",2,18.52,16.52,51.66,21.09
"BDX14921","clay","Mas de Moreno",2,18.32,16.5,51.9,20.97
"BDX14922","clay","Mas de Moreno",2,20.69,21.32,48.31,19.7
"BDX14924","clay","Mas de Moreno",2,18.64,16.78,51.66,20.85
"BDX14925","clay","Mas de Moreno",2,18.53,16.66,51.33,20.84
"BDX14926","clay","Mas de Moreno",2,19.92,19.63,49.39,19.35
"BDX15030","clay","Mas de Moreno",2,19.99,19.33,50.61,19.93
"BDX15031","clay","Mas de Moreno",2,20.59,20.62,49.91,19.37
"BDX15032","ceramic","Mas de Moreno",1,13.15,13.92,53.68,19.69
"BDX15033","ceramic","Mas de Moreno",1,14.87,15.15,53.45,19.22
"BDX15034","ceramic","Mas de Moreno",1,13.31,17.58,51.62,19.04
"BDX15035","ceramic","Mas de Moreno",1,12.98,15.16,52.94,19.21
"BDX15036","ceramic","Mas de Moreno",1,13.76,15.87,50,19.99
"BDX15037","ceramic","Mas de Moreno",1,6.76,16.38,49.64,21.14
"BDX15038","ceramic","Mas de Moreno",1,7.78,15.15,52.72,19.97
"BDX15040","ceramic","Mas de Moreno",1,14.78,14.7,54.09,20.65
"BDX15041","ceramic","Mas de Moreno",1,11.35,16.11,50.56,20.38
"BDX15042","ceramic","Mas de Moreno",1,14.4,14.14,54,20.45
"BDX15043","ceramic","Mas de Moreno",1,14.79,14.39,52.94,20.19
"BDX15044","ceramic","Mas de Moreno",1,10.93,17.5,52.22,18.1
"BDX15045","ceramic","Mas de Moreno",1,10.8,19.14,52.34,16.76
"BDX15053","ceramic","Mas de Moreno",1,8.89,14.6,53.52,20.75
"BDX15054","ceramic","Mas de Moreno",1,NA,14.34,50.41,21.31
"BDX15445","ceramic","Mas de Moreno",2,5.57,16.43,50.15,19.82
"BDX15446","ceramic","Mas de Moreno",2,13.96,19.83,49.35,19.53
"BDX15448","ceramic","Mas de Moreno",2,13.54,15.68,52.04,21.01
"BDX15449","ceramic","Mas de Moreno",2,12.03,17.48,50.81,20.57
"BDX15450","ceramic","Mas de Moreno",2,6.83,16.92,51.69,20.86
"BDX15451","ceramic","Mas de Moreno",2,9.41,20.37,49.07,19.39
"BDX15452","ceramic","Mas de Moreno",2,8.11,16.53,51.68,20.92
"BDX15453","ceramic","Mas de Moreno",2,7.17,17.35,51.16,20.27
"BDX15457","ceramic","Mas de Moreno",2,5.81,15.92,50.69,21.56
"BDX15461","ceramic","Mas de Moreno",2,9.86,16.23,51.53,19.81
"BDX15464","ceramic","Mas de Moreno",2,5.1,16.84,51.39,20.09
"BDX15465","ceramic","Mas de Moreno",2,7.4,17.08,50.16,19.63
"BDX15466","ceramic","Mas de Moreno",2,7.16,15.35,52.1,19.85
"BDX15468","ceramic","Mas de Moreno",2,12.26,17,52.12,20.2
"BDX15473","ceramic","Mas de Moreno",2,16.71,16.25,51.87,19.45
"BDX15640","ceramic","Mas de Moreno",3,7.05,16.94,50.04,20.16
"BDX15641","ceramic","Mas de Moreno",3,15.19,16.93,52.48,19.51
"BDX15643","ceramic","Mas de Moreno",3,10.97,19.5,49.45,19.79
"BDX15644","ceramic","Mas de Moreno",3,NA,18.3,50.68,19.3
"BDX15647","ceramic","Mas de Moreno",3,6.36,16.2,52.81,20.17
"BDX15649","ceramic","Mas de Moreno",3,6.54,16.1,51.49,21.05
"BDX15651","ceramic","Mas de Moreno",3,8.26,18.02,50.73,19.31
"BDX15652","ceramic","Mas de Moreno",3,6.73,16.06,50.34,21.14
"BDX15653","ceramic","Mas de Moreno",3,5.85,14.3,51.8,21.46
"BDX15654","ceramic","Mas de Moreno",3,5.8,15.04,50.93,21.66
"BDX15659","ceramic","Mas de Moreno",3,9.28,15.77,50.14,21.32
"BDX15660","ceramic","Mas de Moreno",3,5.53,17.81,49.44,20.46
"BDX15661","ceramic","Mas de Moreno",3,6.84,16.32,49.9,21.13
"BDX15662","ceramic","Mas de Moreno",3,9.21,16.56,50.21,20.49
"BDX15663","ceramic","Mas de Moreno",3,5.77,12.84,54.48,21.15
"BDX15664","ceramic","Mas de Moreno",3,3.52,16.25,50.42,20.93
"BDX15665","ceramic","Mas de Moreno",3,7.37,15.95,50.52,21.23
"BDX15666","ceramic","Mas de Moreno",3,6.09,13.93,52.74,22.73
"BDX15668","ceramic","Mas de Moreno",3,4.92,16.08,49.89,21.08
"BDX15669","ceramic","Mas de Moreno",3,8.19,14.78,51.93,21.25
"BDX15671","ceramic","Torre Cremada",NA,5.65,13.98,53.53,18.97
"BDX15673","ceramic","Torre Cremada",NA,4.87,11.52,56.58,19.73
"BDX15674","ceramic","Torre Cremada",NA,3.41,13.31,53.76,22.11
"BDX15675","ceramic","Torre Cremada",NA,7.26,8.83,57.18,16.07
"BDX15676","ceramic","Torre Cremada",NA,7.7,14.82,53.21,20.02
"BDX15679","ceramic","Torre Cremada",NA,7.4,16.24,53.1,19.99
"BDX15680","ceramic","Torre Cremada",NA,6.28,15.99,51.92,21.02
"BDX16441","ceramic","El Palao",NA,12.76,21.77,46.47,13.7
"BDX16443","ceramic","El Palao",NA,16.48,28.79,42.71,13.85
"BDX16444","ceramic","El Palao",NA,3.15,7.64,60.41,18.47
"BDX16445","ceramic","El Palao",NA,7.87,14.49,50.96,19.61
"BDX16446","ceramic","El Palao",NA,14.01,22.46,46.63,13.74
"BDX16447","ceramic","El Palao",NA,NA,14.42,54.69,16.83
"BDX16449","ceramic","El Palao",NA,5.78,14.95,52.08,19.67
"BDX16451","ceramic","El Palao",NA,11.27,12.3,53.23,19.84
"BDX16452","ceramic","El Palao",NA,10.82,15.18,52.47,18.5
"BDX16453","ceramic","El Palao",NA,8.48,16.93,50.69,19.09
